labels	text
Spam	"Esto es para informarle que {FirstName} a perdido una cita con WIC el {Weekday}, ago 29. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para informarle que {FirstName} a perdido una cita con WIC el {Weekday}, ago 30. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para recordarle a {FirstName} que tiene una cita con WIC el {Weekday}, ago 30 {Time} PM. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para recordarle a {FirstName} que tiene una cita con WIC el mié, ago 31 {Time} AM. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para recordarle a {FirstName} que tiene una cita con WIC el {Weekday}, ago 29 {Time} AM. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para recordarle a {FirstName} que tiene una cita con WIC el {Weekday}, ago 30 {Time} AM. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Esto es para recordarle a {FirstName} que tiene una cita con WIC el mié, ago 31 {Time} PM. Por favor llamenos si tiene alguna pregunta {Phone}"
Spam	"Fall River WIC Presents World Breastfeeding Week Drive by Celebration! Thursday {Month} {Day}th, 2022 from 10:00am - 12:00pm HealthFirst Family Care Center, 387 Quarry Street, Fall River Come join us as we celebrate breastfeeding! Drive through our parking lot for raffles, giveaways, food and more!"
Spam	"Family Pediatric Center contacting JackTest Daniels to remind you of your appointment. {Month} {Day} {Time} AM at 830 Scenic Drive, Suite A. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule.  To contact us via phone {Phone}.  Face coverings required!  
Spam	"Family Pediatric Center contacting MashalAmiri to remind you of your appointment. {Month} {Day} {Time} AM at 830 Scenic Drive, Suite A. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule.  To contact us via phone {Phone}.  Face coverings required!  https://hms.teletask.com/aasag "
Spam	"Family Pediatric Center contacting TabishAmiri to remind you of your appointment. {Month} {Day} {Time} AM at 830 Scenic Drive, Suite A. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule.  To contact us via phone {Phone}.  Face coverings required!  https://hms.teletask.com/aasag "
Spam	"Family Pediatric Center contacting ZohaibAmiri to remind you of your appointment. {Month} {Day} {Time} AM at 830 Scenic Drive, Suite A. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule.  To contact us via phone {Phone}.  Face coverings required!  https://hms.teletask.com/aasag "
Spam	"Family Pediatric Center is contacting Ramzi to remind you that you have an appointment today @ {Time} PM.  Please reply ""Y""  to confirm, or ""N"" to be contacted.  Call {Phone} if you are  unable to reply to this message.  "
Spam	"Hello! WIC is holding TWO virtual breastfeeding classes (in English) on {Weekday}, {Month} {Day}, 2022 at {Time} AM and {Time} PM. Zoom links with instructions will be sent the night before. Questions? Text: Amy at {Phone}. Thank you! ¡Hola! WIC llevará a cabo DOS clases virtuales de lactancia materna (en español) el martes 19 de {Month} de 2022 a las 10:30 a. m. y a las 4:30 p. m. Los enlaces de Zoom con instrucciones se enviarán la noche anterior. ¿Preguntas? Texto: Claudia al {Phone}. ¡Gracias!"
Spam	Hi {FirstName} This is WIC.  Our records show that someone in your household missed an appointment.  We are currently serving Participants by phone because our office buildings are closed. Please call us if you wish to keep receiving WIC services {Phone}
Spam	"Hi {FirstName} This is WIC.  Our records show that someone in your household missed an appointment.  We are currently serving Participants by phone because our office buildings are closed. Please call us if you wish to keep receiving WIC services {Phone}"
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {FirstName} - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a WL- Web Lesson - Online Classes. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Chavez - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a PAW - Replacement Cards. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Lopez - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {FirstName} - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Mendoza - Formula Exchange. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Felix - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {FirstName} - Infant Mid-Point Review. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Gutierrez - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Ratliff - Prescription Appt. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Baker - Prescription Appt. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a {FirstName} - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Adan - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a {FirstName} - Replacement Cards. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a WL- Web Lesson - Online Classes. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a {FirstName} - Change PIN. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a {FirstName} - Infant Mid-Point Review. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Romaine - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Pensado - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {FirstName} - Child Mid-Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Coombs - Formula Exchange. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {FirstName} - Formula Exchange. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Palacios - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Moyado - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Gipson - Formula Exchange. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Rodriguez - Initial Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Chacon - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a {Month} - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Barrios - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Floyd - Formula Exchange. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} PM for a Zapata - Replacement Cards. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Hollingsworth - Certification. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a {FirstName} - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a Ramirez - Card Pickup. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hi, this is a reminder from the Amarillo WIC Program. You have an upcoming appointment on {Weekday}, {Month} {Day}, {Time} AM for a YA - Food Package Changes. Reply 1 to confirm or call the WIC office to reschedule."
Spam	"Hola, {FirstName}. Esto es WIC. Nuestros registros muestran que alguien {Clinic} WIC {Phone}"
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para Coronado - Card Pickup a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para {FirstName} - Card Pickup a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para {FirstName} {LastName} - Certification a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para {FirstName} - Certification a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para Hernandez Suarez - Card Pickup a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para Munoz - Card Pickup a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para {FirstName} - Card Pickup a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 30 para WL- Web Lesson - Online Classes a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para {FirstName} - Infant Mid-Point Review a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para {FirstName} - Child Mid-Certification a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para {FirstName} - Child Mid-Certification a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para {FirstName} {LastName} - Card Pickup a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para Rodriguez - Initial Certification a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para Romaniz - Certification a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para WL- Web Lesson - Online Classes a las {Time} PM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"Hola este es el programa de WIC con un otro recordatorio de que tiene una cita en el dia de {Weekday}, ago 27 para WL- Web Lesson - Online Classes a las {Time} AM. Conteste (1) para confirmer o llama la oficina to reprogramar."
Spam	"If you didn't get your WIC farmers market vouchers yet, come today until 5pm at {Address}.bit.ly/3n{FirstName}"
Spam	"If you didn't make it yesterday, WIC Farmers Market Distribution is {FirstName} until 5PM @ 1771 Boston Road.  See our distribution info @  bit.ly/3n{FirstName}"
Spam	"If you didn't make it yesterday, WIC Farmers Market Distribution is {FirstName} until 5PM @ 1771 Boston Road.  See our distribution info @  https://hms.teletask.com/6ovy6"
Spam	"If you didn't make it yesterday, WIC Farmers Market Distribution is {FirstName} until 5PM @ 1771 Boston Road.  See our distribution info @  t.ly/djpf"
Spam	"Kristin missed a WIC appt. Please call {Phone} to reschedule before the end of the current month."
Spam	"Lembrete - Consulta da WIC: Estamos atendendo participantes somente por telefone. Nossos prédios estão fechados. Sua consulta é Qua, {Month} {Day} e ligaremos em {FirstName} {LastName} deste dia. Nossa ligação poderá vir às vezes de um número bloqueado.  Questões? Ligue para {Phone} e deixe mensagem."
Spam	"Lembrete - Consulta da WIC: Estamos atendendo participantes somente por telefone. Nossos prédios estão fechados. Sua consulta é Qui, {Month} {Day} e ligaremos em {FirstName} {LastName} deste dia. Nossa ligação poderá vir às vezes de um número bloqueado.  Questões? Ligue para {Phone} e deixe mensagem."
Spam	"Lembrete de compromisso WIC: esperamos vê-lo em nosso escritório WIC Framingham 7 Bishop St em Qua, {Month} {Day} às {Time} PM. Se você tiver dúvidas, ligue para {Phone} e deixe uma mensagem. Obrigada!"
Spam	"Lembrete de compromisso WIC: esperamos vê-lo em nosso escritório WIC Framingham 7 Bishop St em Qua, {Month} {Day} às {Time} AM. Se você tiver dúvidas, ligue para {Phone} e deixe uma mensagem. Obrigada!"
Spam	"Lembrete de compromisso WIC: esperamos vê-lo em nosso escritório WIC Framingham 7 Bishop St em Qui, {Month} {Day} às {Time} PM. Se você tiver dúvidas, ligue para {Phone} e deixe uma mensagem. Obrigada!"
Spam	"MA'{FirstName} has a WIC appt with People's Health Center on {Month} {Day} {Time} AM. Please call {Phone} if you have any questions. Please bring your ID/WIC card, child's ID, proof of address and proof of income."
Spam	"MA'{FirstName} has missed a WIC appt on  {Weekday}, {Month} {Day}. Please call us at {Phone} if you have any questions. "
Spam	"McHenry Medical Office contacting {FirstName} to remind you of your appointment. {Month} {Day} {Time} PM at {Address}., Suite B-10. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule.  To contact us via phone call {Phone}.  Face coverings required!  https://hms.teletask.com/aasag"
Spam	"No ha recibido sus cheques WIC para mercados agricolas y su familia es elegible para recibirlos; por favor venga al vestibulo del Banco de America el dia 30 de {Month} entre las 3 y 5:30 pm para recojerlos. Si tiene preguntas sobre su eligibilidad, por favor llame a WIC al 767-4109."
Spam	"Nuestros registros muestran que usted o una persona en {Clinic} WIC. Si desea programar una cita, llame a {Phone} Ext {Number}"
Spam	"Nuestros registros muestran que usted o una persona en {Clinic} WIC. Si desea programar una cita, llame a {Phone}"
Spam	"Olá {FirstName} Este é o WIC. Nossos registros mostram que alguém em sua casa perdeu um compromisso. Atualmente, estamos atendendo os participantes por telefone, porque nossos prédios de escritórios estão fechados. Ligue para nós se desejar continuar recebendo os serviços WIC {Phone}"
Spam	Our records show that you or a person in your household have not come in to obtain WIC benefits. If you wish to schedule an appointment please call {Phone} Ext {Number}
Spam	Our records show that you or a person in your household have not come in to obtain WIC benefits. If you wish to schedule an appointment please call {Phone}
Spam	"Paradise Medical Office contacting Kaur Balbir to remind you of your appointment. {Month} {Day} {Time} PM at {Address}. Please reply ""Y"" if you plan to attend. Reply ""N"" to reschedule/cancel.  To contact us via phone {Phone}.  Face coverings required!  
Spam	"Please contact the {FirstName} program at {Phone} Monday through Friday from 9am to 5pm to update your address. We received your child's {FirstName} card as return to sender in the mail."
Spam	"Próxima cita de WIC el {Month} {Day} {Time} PM favor, Esté preparado para su cita EN {FirstName} (máscara requerida) con prueba de elegibilidad (dirección de ingresos e identificación), persona certificada y una altura, peso y análisis de sangre recientes. https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Revise sus derechos y responsabilidades https://www.mass.gov/doc/wic-rights- and-responsibility-0/downloadtakeing care of your family https://www.mass.gov/doc/take-care-of-your-family/download Si tiene preguntas, llame a {Phone} www.mass. gov/wic-information-for-participants"
Spam	"Próxima cita de WIC el {Month} {Day} {Time} PM favor, prepárese para su cita {FirstName} con información reciente de altura, peso y análisis de sangre https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Si tiene preguntas, llame a {Phone} www.mass. gov/wic-information-for-participants"
Spam	"Próxima cita de WIC el {Month} {Day} {Time} AM favor, prepárese para su cita {FirstName} con información reciente de altura, peso y análisis de sangre https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Si tiene preguntas, llame a {Phone} www.mass. gov/wic-information-for-participants"
Spam	"Próxima consulta WIC em Qui, {Month} {Day} {Time} PM favor, esteja preparado para sua consulta {FirstName} com informações recentes sobre altura, peso e exames de sangue https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Para perguntas, ligue para {Phone} www.mass. gov/wic-informações-para-participantes"
Spam	Recientemente se perdió una cita en {Clinic} WIC. Llame a {Phone} para reprogramar lo antes posible.
Spam	"Recordatorio de cita de WIC: esperamos verlo en {Clinic} WIC 32 South St #201 el mié, {Month} {Day} a las {Time} AM. Si tiene preguntas, llame a {Phone} y deje un mensaje. ¡Gracias!"
Spam	"Recordatorio de cita de WIC: estamos atendiendo a todos los Participantes {FirstName} por teléfono. Nuestros edificios están cerrados. Tu cita es el {Weekday}, {Month} {Day}. Te llamaremos {FirstName} VEZ este día para completarlo contigo. Nuestra llamada puede aparecer como un número bloqueado. Preguntas?Llame {Phone}"
Spam	"Recordatorio de cita de WIC: estamos atendiendo a todos los Participantes {FirstName} por teléfono. Nuestros edificios están cerrados. Tu cita es el mié, {Month} {Day}. Te llamaremos {FirstName} VEZ este día para completarlo contigo. Nuestra llamada puede aparecer como un número bloqueado. Preguntas?Llame {Phone}"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} PM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone}"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} PM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} #6"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} AM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone}"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} AM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} x42768"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} AM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} #6"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} AM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} X1"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} AM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} x185,186,187"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} PM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} X1"
Spam	"RI WIC: You or someone in your household has an appt on {Month} {Day} {Time} PM. If you have any questions or are unable to keep this appointment and would like to reschedule, please call {Phone} x185,186,187"
Spam	This is a friendly reminder from WIC. Your benefits for this month are expiring this week. Please remember to use them. You can designate someone you trust to go shopping with your card.  If you are having any problems using your card please call or text us back.
Spam	"Tiene una cita programada para el {Weekday}, {Month} {Day}, {Time} PM en Milford. Si tiene alguna pregunta sobre lo que se necesita para esta cita, llame. {Phone}."
Spam	"Tiene una cita programada para el {Weekday}, {Month} {Day}, {Time} PM en Southbridge. Si tiene alguna pregunta sobre lo que se necesita para esta cita, llame. {Phone}."
Spam	"Tiene una cita programada para el {Weekday}, {Month} {Day}, {Time} AM en Whitinsville. Si tiene alguna pregunta sobre lo que se necesita para esta cita, llame. {Phone}."
Spam	"Tiene una cita programada para el {Weekday}, {Month} {Day}, {Time} AM en Milford. Si tiene alguna pregunta sobre lo que se necesita para esta cita, llame. {Phone}."
Spam	"Tiene una próxima aplicación de WIC el {Weekday}, {Month} {Day} en {Clinic} WIC lo llamará a la hora programada con instrucciones con respecto a su cita.. Para preguntas, llame a {Phone}"
Spam	"Tiene una próxima aplicación de WIC el mié, {Month} {Day} en {Clinic} WIC lo llamará a la hora programada con instrucciones con respecto a su cita.. Para preguntas, llame a {Phone}"
Spam	"Upcoming WIC appointment on {Month} {Day} {Time} PM .Please be prepared for your {FirstName} appointment with recent height, weight and blood work information https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download For questions please call {Phone} www.mass.gov/wic-information-for-participants"
Spam	"Upcoming WIC appointment on {Month} {Day} {Time} PM .Please be prepared for your {FirstName}appointment (mask required) with proof of eligibility (incomee address & i.d.), person being certified and a recent height, weight and bloodwork. https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Review your Right and Responsibilities https://www.mass.gov/doc/wic-rights-and-responsibilities-0/downloadtaking care of your family https://www.mass.gov/doc/taking-care-of-your-family/download For questions please call {Phone} www.mass.gov/wic-information-for-participants"
Spam	"Upcoming WIC appointment on {Month} {Day} {Time} PM .Please be prepared for your {FirstName} appointment (mask required) with proof of eligibility (incomee address & i.d.), person being certified and a recent height, weight and bloodwork. https://www.mass.gov/doc/medical-referral-form-for-infants-and-children-2/download Review your Right and Responsibilities https://www.mass.gov/doc/wic-rights-and-responsibilities-0/downloadtaking care of your family https://www.mass.gov/doc/taking-care-of-your-family/download For questions please call {Phone} www.mass.gov/wic-information-for-participants"
Spam	"Upcoming WIC appointment on {Month} {Day} {Time} PM .Please  For questions please call {Phone} www.mass.gov/wic-information-for-participants"
